Ticker,Date Analyzed,PercChange,Initial Price,Most Recent Price,Catalyst Path,Window Time,Theme
Lithium Americas Corp (LAC),10/4/2025,-0.388449367, $12.64 , $7.73 ,First loan-draw close targeted Dec 2025 ? build 2�3 weeks pre-12/31. Setups: long equity; or Dec/Jan call calendars to capture announcement vol.,30-90 Days,Critical minerals / domestic battery supply
"QUANTA SERVICES, INC. (PWR)",10/4/2025,0.066386495, $421.17 , $449.13 ,�Speed-to-Power� conversions post Dec 12 filings ? enter ~Nov 25 ahead of utility templates. Pair vs XLU for alpha.,30-90 Days,Grid transmission & advanced power electronics
"BWX TECHNOLOGIES, INC. (BWXT)",10/4/2025,0.144502786, $186.64 , $213.61 ,HPDU execution milestones into mid-Nov ? accumulate ~Nov 15; optionality via call spreads.,30-90 Days,Domestic uranium / HALEU fuel cycle
A. O. SMITH CORPORATION (AOS),10/4/2025,-0.100340832, $73.35 , $65.99 ,Municipal PFAS program launches following EPA fall proposals ? mid-Nov starter position; optionality via Jan calls.,30-90 Days,PFAS remediation & water tech
CENTRUS ENERGY CORP. (LEU),10/4/2025,, $343.49 , $367.46 ,Next HALEU contract options + Ohio expansion; trade the anticipation curve + borrow scarcity. ,90-180 Days,Domestic uranium / HALEU fuel cycle
Energy Plug Technologies Corp. (XCNQ:PLUG),10/4/2025,, $0.10 , $0.46 ,Multi-MW electrolyzer awards + DOE loan; favor diagonal call spreads into award windows. ,90-180 Days,Biofuels / SAF under 45Z
"IONQ, INC. (IONQ)",10/4/2025,, $73.28 , $62.38 ,AFRL/QBI awards & perf milestones; trade earnings-adjacent catalysts with straddles/strangles where borrow tight. ,90-180 Days,
"RIGETTI COMPUTING, INC (XNAS:RGTI)",10/4/2025,, $40.06 , $44.27 ,AFRL/QBI awards & perf milestones; trade earnings-adjacent catalysts with straddles/strangles where borrow tight. ,90-180 Days,
"CLEAN HARBORS, INC. (CLH)",10/4/2025,, $228.34 , $210.51 ,State mandates & disposal contracts; mean-revert spreads vs waste peers on contract prints.,90-180 Days,PFAS remediation & water tech
MYR GROUP INC. (MYRG),10/4/2025,, $199.55 , $217.70 ,"Catalyst path: FERC Order 1920 (regional long-term planning/cost allocation) + Order 2023 (interconnection) push utilities into filings by Dec 12, 2025, forcing multi-GW corridors (HV lines, STATCOM/VSC, advanced conductors).",,Grid transmission & advanced power electronics
DUKE ENERGY CORPORATION (DUK),10/4/2025,, $123.54 , $124.30 ,"Catalyst path: FERC Order 1920 (regional long-term planning/cost allocation) + Order 2023 (interconnection) push utilities into filings by Dec 12, 2025, forcing multi-GW corridors (HV lines, STATCOM/VSC, advanced conductors).",,Grid transmission & advanced power electronics
"AGILENT TECHNOLOGIES, INC. (A)",10/4/2025,, $141.64 , $146.36 ,"Catalyst path: EPA NPDWR proposal in Fall 2025 + EU restrictions toward 2026 ? municipal compliance budgets (testing, filtration, destruction).",,PFAS remediation & water tech
Vertiv Holdings Co (VRT),10/4/2025,, $160.20 , $192.86 ,Streamlined federal permitting + transformer & gas-turbine backlogs ? scarcity pricing; liquid-cooling and district cooling scale. ,,Data-center power & thermal ecosystems
EATON CORPORATION PUBLIC LIMITED COMPANY (ETN),10/4/2025,, $373.46 , $381.56 ,Streamlined federal permitting + transformer & gas-turbine backlogs ? scarcity pricing; liquid-cooling and district cooling scale. ,,Data-center power & thermal ecosystems
Schneider Electric SE (SBGSY),10/4/2025,, $58.40 , $56.70 ,Streamlined federal permitting + transformer & gas-turbine backlogs ? scarcity pricing; liquid-cooling and district cooling scale. ,,Data-center power & thermal ecosystems
GENERAL MOTORS COMPANY (GM),10/4/2025,, $60.13 , $69.09 ,DOE�s $435M Thacker Pass loan draw with 5% equity signal�a policy shift to equity-backed strategic minerals.,,Critical minerals / domestic battery supply
MP MATERIALS CORP (MP),10/4/2025,, $71.50 , $63.09 ,DOE�s $435M Thacker Pass loan draw with 5% equity signal�a policy shift to equity-backed strategic minerals.,,Critical minerals / domestic battery supply
INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM),10/4/2025,, $288.37 , $307.41 ,"AFRL awards, DARPA benchmarking, and NIST PQC FIPS (203/204/205) with migration timelines drive gov/enterprise spend (quantum systems + crypto-agility).",,Quantum computing & PQC migration
"GEVO, INC. (XNAS:GEVO)",10/4/2025,, $2.14 , $2.34 ,Treasury/IRS operationalized 45Z (45ZCF-GREET); push to finalize import RIN reductions; potential 45Z extension + NA feedstock ring-fencing ? producer registrations ? pathway certifications ? SAF ramps. ,,Biofuels / SAF under 45Z
ATI INC (ATI),10/4/2025,, $81.28 , $98.97 ,Treasury/IRS operationalized 45Z (45ZCF-GREET); push to finalize import RIN reductions; potential 45Z extension + NA feedstock ring-fencing ? producer registrations ? pathway certifications ? SAF ramps. ,,Defense & space-nuclear
HOWMET AEROSPACE INC. (HWM),10/4/2025,, $189.25 , $205.95 ,NNSA $1.6B HPDU program + air/missile-defense radars moving through test/early production.,,Defense & space-nuclear
"L3HARRIS TECHNOLOGIES, INC. (LHX)",10/4/2025,, $297.39 , $289.10 ,NNSA $1.6B HPDU program + air/missile-defense radars moving through test/early production.,,Defense & space-nuclear
